trip_distance,fare_amount,winter,spring,summer,fall,PULongitude,PULatitude,DOLongitude,DOLatitude,pickup_datetime,dropoff_datetime,ride_duration,Early morning,Morning,Afternoon,Night,Holiday Proximity,label
0.65,6.5,1,0,0,0,-73.9904776189691,40.7403134645878,-73.99245532771059,40.748476361761796,2019-02-22 14:25:02,2019-02-22 14:32:38,0 days 00:07:36.000000000,0,0,1,0,0,B
0.6,6.0,0,0,0,1,-73.9597126787805,40.7668388165846,-73.9774318381095,40.758226481221705,2019-10-25 09:43:55,2019-10-25 09:50:56,0 days 00:07:01.000000000,0,1,0,0,0,B
0.94,5.5,0,0,1,0,-74.00671162438991,40.718695641007706,-74.00249690862721,40.734611555981395,2019-06-21 23:07:00,2019-06-21 23:11:20,0 days 00:04:20.000000000,0,0,0,1,0,B
1.3,8.0,0,0,1,0,-73.9569723853064,40.7804914757347,-73.97281451745029,40.7917662467824,2019-06-19 07:45:35,2019-06-19 07:54:28,0 days 00:08:53.000000000,0,1,0,0,0,C
2.82,18.0,0,0,0,1,-73.9879729664182,40.77577020957129,-73.9721454850812,40.7568161553126,2019-11-15 13:33:11,2019-11-15 14:01:48,0 days 00:28:37.000000000,0,0,1,0,0,G
3.17,15.5,0,0,0,1,-73.99245532771059,40.748476361761796,-73.96557217995941,40.7824597386361,2019-09-07 20:03:04,2019-09-07 20:23:36,0 days 00:20:32.000000000,0,0,0,0,0,F
1.2,11.5,0,0,1,0,-73.9999401565074,40.7483972248318,-74.004512572075,40.7524372519647,2019-06-05 13:33:37,2019-06-05 13:50:21,0 days 00:16:44.000000000,0,0,1,0,0,D
0.5,4.0,0,0,1,0,-73.9833103532463,40.737348376320796,-73.9771193707357,40.7403592357115,2019-06-24 08:08:32,2019-06-24 08:11:05,0 days 00:02:33.000000000,0,1,0,0,0,A
2.4,12.0,0,1,0,0,-73.9841761608222,40.759844740029294,-73.9569723853064,40.7804914757347,2019-05-18 18:54:35,2019-05-18 19:09:26,0 days 00:14:51.000000000,0,0,0,0,0,D
2.1,11.0,1,0,0,0,-73.9999401565074,40.7483972248318,-73.9769419924356,40.7476542811031,2019-02-16 17:26:15,2019-02-16 17:41:14,0 days 00:14:59.000000000,0,0,1,0,0,D
